Biomark Device Manager Version 1.2.37
Export All Records To File
Export Date/Time: 9/4/2024 3:32:51 PM

Scan Date   Scan Time     Download Date  Download Time  S/N   Reader ID  HEX Tag ID      DEC Tag ID        Temperature,C  Signal,mV  Is Duplicate  
----------  ------------  -------------  -------------  ----  ---------  --------------  ----------------  -------------  ---------  ------------  
10/23/2023  15:35:53.160  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:53.190  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:53.220  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:53.300  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:53.360  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:53.420  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:53.480  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:53.540  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:53.610  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:53.670  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:53.730  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:53.790  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:53.850  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:53.910  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:53.970  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:54.030  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:54.090  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:54.120  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:54.150  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:54.180  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:54.210  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:54.250  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:54.280  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:54.320  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:54.390  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:54.450  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:54.510  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:54.570  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:54.640  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:54.700  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:54.760  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:54.830  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:54.890  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:54.950  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:55.010  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:55.080  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:55.140  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
